Dealership,Season,Car,Buyer,Buyer_Age,Price,Buyer_Income
Austin,Winter,GMC,Female,80,38893,280358
Houston,Spring,Honda,Male,69,36774,102213
San Antonio,Fall,Chevrolet,Female,76,29282,192784
Seattle,Spring,Jeep,Male,59,40816,242581
Seattle,Winter,Ford,Male,54,41778,102875
NYC,Spring,Kia,Female,52,41296,41119
Columbus,Spring,Subaru,Male,71,49896,219580
Philladephia,Fall,Ford,Female,44,33748,190175
Chicago,Summer,Kia,Male,37,20913,66000
Phoenix,Fall,Honda,Female,67,40003,187613
NYC,Winter,Ford,Female,70,13393,70745
San Antonio,Spring,Hyundai,Male,52,35738,101536
Seattle,Fall,Honda,Male,81,38284,96888
Austin,Summer,Nissan,Male,60,48215,152185
Columbus,Summer,Ford,Male,75,14909,162407
San Antonio,Fall,Chevrolet,Female,51,14743,228803
Houston,Fall,Nissan,Male,28,48877,89287
Philladephia,Winter,Ford,Female,62,48655,289926
LA,Fall,Ford,Male,72,37612,164282
Houston,Summer,Ram,Female,37,29881,264708
Chicago,Summer,Honda,Male,82,38684,170903
Philladephia,Summer,Nissan,Female,54,14670,172236
San Diego,Fall,GMC,Male,61,31473,52362
Houston,Winter,Ram,Male,42,14083,97081
LA,Spring,Hyundai,Male,41,40628,263038
Austin,Winter,Ram,Female,24,24157,272198
San Antonio,Summer,Kia,Female,68,28509,101262
Seattle,Summer,Subaru,Female,33,10596,212802
Austin,Spring,Kia,Male,51,21925,154060
Phoenix,Spring,Hyundai,Male,57,13731,185058
Chicago,Spring,Toyota,Male,39,49926,273742
Chicago,Spring,Hyundai,Male,35,27610,40619
Phoenix,Fall,Toyota,Female,79,32442,46939
Columbus,Fall,Honda,Female,79,25617,209169
Austin,Fall,Ram,Female,49,16409,165638
San Antonio,Summer,Ram,Female,40,24769,85302
Seattle,Winter,Ford,Female,50,27507,81602
Austin,Fall,Hyundai,Male,55,43976,237895
Columbus,Summer,Subaru,Male,73,25366,281436
Austin,Fall,Honda,Male,67,49590,205307
Seattle,Summer,Kia,Male,67,29237,192699
Houston,Summer,Ford,Female,64,16059,244038
San Antonio,Fall,Kia,Male,67,10327,277516
LA,Winter,Ford,Female,23,13712,170290
Austin,Spring,Jeep,Male,51,18699,50157
Austin,Summer,Kia,Female,35,10455,168412
Chicago,Fall,Ram,Male,68,40021,201957
San Diego,Fall,Toyota,Male,60,21227,236636
NYC,Fall,Ford,Male,77,17299,284266
Austin,Summer,Kia,Female,22,17858,68626
Columbus,Fall,Ram,Female,44,18136,114666
Chicago,Spring,Ford,Male,37,43890,135928
LA,Spring,Ford,Male,68,39115,141441
NYC,Winter,Jeep,Male,46,39542,262034
Philladephia,Winter,Chevrolet,Female,66,20434,151185
Austin,Winter,Hyundai,Male,74,44630,161971
LA,Summer,GMC,Male,67,10209,186058
Phoenix,Summer,Ford,Male,83,14658,201983
Columbus,Winter,Jeep,Male,34,15906,169163
Houston,Fall,Ram,Male,80,35607,259858
Philladephia,Fall,Kia,Female,40,26097,255712
San Antonio,Winter,Ford,Female,47,45090,295545
San Diego,Summer,Subaru,Female,79,43378,84614
Philladephia,Fall,GMC,Male,23,42866,219784
Houston,Spring,Ram,Female,62,36407,285881
Houston,Winter,Jeep,Male,30,26015,43529
Seattle,Spring,Ford,Female,46,25970,183947
NYC,Summer,Hyundai,Female,36,42362,241820
Columbus,Spring,Ram,Male,44,15224,229720
Austin,Fall,Honda,Male,63,23393,173538
San Diego,Winter,Honda,Female,57,21716,180536
San Diego,Spring,GMC,Female,40,21840,84058
Austin,Winter,Hyundai,Male,61,35381,124363
San Antonio,Fall,Chevrolet,Male,24,38175,245233
Chicago,Spring,Subaru,Male,30,28755,125303
LA,Fall,Honda,Male,60,33936,191639
Austin,Winter,Nissan,Male,65,37535,142922
Houston,Winter,Chevrolet,Female,37,13299,89342
San Diego,Winter,GMC,Male,25,45939,72725
Phoenix,Spring,Jeep,Female,52,36174,116297
San Antonio,Fall,Toyota,Male,83,44552,265459
LA,Summer,Kia,Female,34,45496,280906
Chicago,Spring,Ford,Female,31,49654,179043
Houston,Spring,GMC,Female,21,11711,183566
NYC,Fall,Jeep,Female,41,47538,184886
Columbus,Fall,Toyota,Female,40,38893,225409
Seattle,Spring,Honda,Male,62,10302,55237
San Antonio,Winter,Hyundai,Male,70,14108,295475
NYC,Summer,Honda,Male,68,27750,178328
San Diego,Spring,Toyota,Female,60,26819,83901
Chicago,Winter,Hyundai,Female,62,33795,178707
San Antonio,Winter,Jeep,Female,23,32123,53030
Austin,Summer,Nissan,Female,61,10155,151594
San Antonio,Fall,Ford,Female,65,12033,163008
Austin,Fall,Jeep,Female,82,18276,137240
Columbus,Summer,Toyota,Male,30,34890,243395
Columbus,Summer,Ram,Male,27,22686,110022
Philladephia,Winter,Ford,Male,32,14263,111602
Chicago,Fall,Chevrolet,Male,35,41787,151484
San Antonio,Winter,Chevrolet,Male,81,28076,99181
Austin,Summer,Honda,Male,29,30830,257284
San Antonio,Summer,Subaru,Male,25,44649,185964
Houston,Winter,Toyota,Male,67,35601,130376
Philladephia,Spring,Toyota,Male,35,28932,172129
Philladephia,Summer,Jeep,Male,57,22517,294846
LA,Fall,Subaru,Female,34,32294,146498
LA,Summer,Ford,Male,70,20074,119278
San Antonio,Winter,Nissan,Male,68,21449,191773
Austin,Winter,GMC,Female,71,12240,292515
San Diego,Winter,Ram,Female,75,15501,249286
San Diego,Winter,Subaru,Male,29,38848,203939
San Diego,Summer,Jeep,Male,29,21093,274278
Austin,Fall,Ford,Female,35,18324,188839
NYC,Summer,Jeep,Male,67,13040,196270
Phoenix,Winter,Ram,Female,83,45808,265996
Columbus,Fall,Kia,Male,81,22112,140176
Philladephia,Winter,GMC,Male,28,30529,117367
Columbus,Summer,Chevrolet,Male,74,39369,177726
NYC,Winter,Jeep,Female,21,28472,199507
Philladephia,Spring,Ram,Female,40,24375,81923
Phoenix,Summer,Toyota,Female,22,37496,136849
NYC,Summer,Ford,Male,75,13558,113348
Phoenix,Spring,Honda,Female,53,16067,231571
Columbus,Fall,Honda,Male,34,39063,101237
San Antonio,Summer,Kia,Male,53,16422,190560
Phoenix,Fall,Honda,Male,56,41517,52185
Houston,Summer,GMC,Female,54,43239,55644
Philladephia,Summer,GMC,Female,25,29010,256055
NYC,Summer,Ford,Female,63,23495,228985
Austin,Summer,Ford,Male,48,24762,98602
Austin,Fall,Toyota,Male,47,15115,149687
Houston,Winter,Hyundai,Female,40,44857,206231
Columbus,Winter,Kia,Female,23,26098,273158
Chicago,Summer,GMC,Female,74,42968,212067
Seattle,Summer,Honda,Female,22,10101,223288
Columbus,Fall,Hyundai,Male,64,38465,92237
Phoenix,Fall,Hyundai,Female,45,20686,175877
Seattle,Winter,Ford,Female,73,26362,186073
LA,Summer,Honda,Female,24,30036,199528
NYC,Spring,Chevrolet,Female,76,26908,89441
Chicago,Summer,Jeep,Female,80,11530,166559
Austin,Summer,Nissan,Female,39,26891,199770
Houston,Spring,Honda,Female,70,14243,221783
Austin,Fall,Subaru,Male,49,14951,181669
Austin,Fall,Ram,Male,73,26672,238826
Chicago,Fall,Toyota,Female,57,20737,171180
Houston,Fall,GMC,Male,60,25242,206905
San Antonio,Winter,Honda,Male,78,27399,265846
Austin,Spring,Honda,Male,60,24871,245096
Columbus,Winter,Honda,Female,32,39978,272952
Phoenix,Spring,Hyundai,Female,80,37024,222976
Columbus,Spring,Jeep,Female,38,31535,246554
Phoenix,Fall,Ram,Female,70,45171,101601
San Antonio,Summer,Nissan,Female,57,21025,211029
San Diego,Summer,Honda,Male,39,40645,245977
Phoenix,Winter,Nissan,Female,44,37647,85886
Austin,Spring,Ram,Male,63,41948,269219
San Antonio,Fall,Ram,Male,32,41849,142402
Philladephia,Spring,Ram,Female,67,11998,72666
LA,Summer,Hyundai,Male,75,37048,43365
San Antonio,Fall,Hyundai,Female,75,31484,185664
NYC,Fall,Jeep,Male,66,26129,215307
Columbus,Summer,Honda,Female,53,42086,249766
San Diego,Fall,Kia,Male,43,20098,218718
San Diego,Fall,Ram,Female,81,17177,58977
San Antonio,Fall,Kia,Female,21,28561,247084
Houston,Fall,Ram,Female,77,36733,240749
Chicago,Summer,GMC,Female,25,12581,69745
San Diego,Fall,Toyota,Male,40,20440,219046
Columbus,Summer,Hyundai,Female,62,30804,49644
Houston,Summer,Kia,Male,45,37918,160601
NYC,Fall,Toyota,Female,66,38567,180191
Philladephia,Winter,Chevrolet,Female,74,26421,45168
Philladephia,Winter,Honda,Female,25,28155,158622
Chicago,Spring,Hyundai,Male,66,16229,270429
Seattle,Winter,Jeep,Male,55,27784,149878
San Diego,Winter,Subaru,Male,27,19525,178824
Austin,Fall,Nissan,Male,25,49186,177842
Austin,Spring,Chevrolet,Male,72,17109,244816
San Diego,Spring,Chevrolet,Female,77,23455,83999
San Diego,Fall,Hyundai,Male,32,29560,177995
San Antonio,Winter,Ford,Female,74,47104,272694
Houston,Spring,GMC,Male,34,34182,171082
San Diego,Spring,Honda,Male,45,12804,273431
San Diego,Spring,GMC,Male,42,12662,283490
Chicago,Winter,Jeep,Male,83,28258,181593
NYC,Winter,Hyundai,Female,68,28195,262688
Columbus,Fall,Honda,Female,46,23206,103915
Chicago,Winter,Honda,Female,40,29253,47937
Phoenix,Summer,Hyundai,Female,53,22496,161283
Chicago,Summer,Subaru,Male,62,14565,108373
Houston,Spring,Toyota,Female,42,12086,154816
Seattle,Summer,Chevrolet,Female,60,42943,273731
Austin,Winter,Jeep,Female,75,34642,73857
Houston,Summer,GMC,Male,75,41120,294156
Austin,Fall,Ford,Male,22,46949,269407
NYC,Winter,Jeep,Male,57,12555,192797
LA,Winter,Chevrolet,Female,37,15204,112006
Chicago,Summer,Ford,Male,49,20150,294139
Chicago,Summer,GMC,Male,35,49377,200734
LA,Fall,GMC,Female,39,39983,159045
Columbus,Spring,Jeep,Male,28,25861,58566
LA,Spring,Ford,Female,66,11872,231408
LA,Fall,Nissan,Female,38,22687,239654
San Antonio,Fall,Chevrolet,Female,24,21154,54953
Columbus,Winter,Ram,Female,36,39789,204796
Chicago,Summer,Toyota,Male,78,29067,85229
Chicago,Winter,GMC,Male,57,24984,188579
Houston,Fall,Ram,Male,40,26676,196812
Phoenix,Spring,Toyota,Female,59,35036,297718
Philladephia,Summer,Chevrolet,Male,77,18137,167160
Houston,Summer,Nissan,Male,57,41170,108955
Chicago,Spring,Ram,Male,74,23414,113843
NYC,Winter,Subaru,Male,56,42227,78681
Houston,Fall,Subaru,Female,25,34541,77655
San Antonio,Summer,Hyundai,Male,64,14530,212126
Seattle,Summer,Hyundai,Female,83,31116,186083
NYC,Winter,GMC,Female,60,25153,222397
Philladephia,Winter,Ford,Male,37,17944,227087
LA,Spring,Honda,Male,47,44148,185219
San Diego,Spring,Nissan,Female,44,21749,299870
San Diego,Spring,Nissan,Male,75,11320,111144
NYC,Fall,Honda,Male,29,35915,174174
Chicago,Spring,Ford,Female,37,39675,177829
LA,Spring,Subaru,Female,21,22113,269217
Seattle,Fall,Jeep,Female,72,44202,177903
NYC,Summer,Kia,Male,76,29498,275546
Phoenix,Summer,Ram,Female,76,37449,287078
San Antonio,Spring,Chevrolet,Male,21,20921,89444
NYC,Spring,Toyota,Male,69,17009,129189
Houston,Fall,Ram,Male,35,36861,274047
Phoenix,Winter,Honda,Female,67,17666,95631
San Antonio,Winter,Ram,Male,71,19637,285950
Austin,Summer,Chevrolet,Female,83,46931,210976
Austin,Spring,Chevrolet,Female,50,27233,279979
Seattle,Fall,Honda,Male,52,43334,286417
San Diego,Spring,Jeep,Male,29,18371,281113
San Diego,Fall,Hyundai,Female,59,25609,254200
Columbus,Fall,Kia,Male,59,39600,120842
NYC,Winter,Hyundai,Female,52,39219,276715
Austin,Summer,Ford,Male,76,24295,270686
San Diego,Winter,Honda,Female,51,25265,219113
Columbus,Fall,Ford,Male,37,15548,197261
Chicago,Winter,Jeep,Female,60,38132,241001
San Diego,Summer,Hyundai,Female,45,12999,159435
Houston,Summer,Jeep,Male,45,13764,296692
NYC,Spring,Ram,Female,83,13025,173835
LA,Fall,Nissan,Male,26,34508,97276
Seattle,Winter,GMC,Female,37,39995,282948
San Diego,Spring,Ram,Female,33,34658,224277
Austin,Fall,Kia,Female,78,37422,251480
Columbus,Summer,Subaru,Male,49,30040,265400
Phoenix,Winter,Ram,Female,80,25178,283143
Phoenix,Spring,Ford,Female,78,20963,107748
LA,Fall,Ram,Female,66,39071,256471
San Antonio,Summer,Toyota,Female,21,42902,104599
Phoenix,Spring,Subaru,Male,24,37133,213239
San Antonio,Winter,Nissan,Male,58,34110,93221
Phoenix,Fall,Hyundai,Female,58,28219,119345
Chicago,Summer,Chevrolet,Male,64,30729,282321
Seattle,Summer,Kia,Female,22,22553,212220
Philladephia,Winter,Chevrolet,Male,51,15690,285276
Phoenix,Fall,Ford,Male,33,17069,94138
Seattle,Spring,Hyundai,Male,43,40865,134225
Austin,Summer,GMC,Male,45,11339,191306
Austin,Spring,Hyundai,Male,60,26241,166779
Phoenix,Fall,Ford,Female,24,29198,286896
Chicago,Fall,Chevrolet,Male,74,44597,45181
San Diego,Summer,Ram,Male,44,37870,200195
Phoenix,Fall,Subaru,Female,53,10731,87938
San Diego,Winter,Nissan,Male,67,37316,76171
Phoenix,Fall,Ford,Female,53,24963,217886
San Diego,Summer,Jeep,Male,23,21442,225323
LA,Fall,Toyota,Female,22,25294,259150
Columbus,Spring,Toyota,Male,77,27798,117480
San Antonio,Summer,Hyundai,Female,56,35741,250894
Phoenix,Summer,Subaru,Male,73,37672,48245
Chicago,Spring,Honda,Male,43,32114,283432
Austin,Fall,Honda,Female,31,37872,276117
NYC,Summer,Ram,Male,56,18747,212195
Seattle,Fall,Chevrolet,Male,43,27863,132495
Seattle,Fall,Ram,Male,42,19763,181109
Phoenix,Winter,Kia,Female,33,29067,194761
Philladephia,Summer,Ram,Female,44,29757,223669
LA,Fall,Hyundai,Female,29,26228,188289
San Antonio,Fall,Honda,Female,76,22094,79594
Seattle,Spring,Kia,Male,72,34588,117673
Seattle,Spring,Hyundai,Female,31,22316,250069
Phoenix,Winter,Toyota,Female,46,32688,266964
NYC,Spring,Kia,Male,36,12482,41413
San Antonio,Summer,Subaru,Male,22,33033,158140
NYC,Spring,Ram,Male,53,35785,172477
Austin,Winter,Kia,Male,26,29517,162823
LA,Fall,Honda,Male,76,46799,48032
Seattle,Fall,Chevrolet,Female,31,19547,157039
San Antonio,Spring,Subaru,Male,40,33870,119356
Columbus,Summer,Kia,Female,60,17616,105388
NYC,Winter,Ram,Female,27,23089,138848
San Diego,Fall,GMC,Male,35,18543,160278
Chicago,Winter,Honda,Male,75,33425,235744
NYC,Winter,Jeep,Male,67,10181,108161
Houston,Fall,Subaru,Female,49,30997,150419
NYC,Summer,Ram,Male,25,36660,232605
Houston,Fall,Hyundai,Female,48,17928,252149
Seattle,Winter,Honda,Male,22,24666,291326
Phoenix,Summer,Honda,Male,56,29106,256388
Columbus,Spring,Honda,Female,51,15313,190208
Seattle,Summer,Ram,Male,34,11571,72761
Seattle,Spring,Kia,Male,76,33622,261111
San Diego,Summer,Subaru,Female,42,19791,49306
Seattle,Fall,Jeep,Female,78,33652,79228
Austin,Summer,Honda,Female,69,35120,256065
NYC,Summer,Chevrolet,Male,67,32003,175853
NYC,Winter,GMC,Male,25,48687,40701
Austin,Summer,Toyota,Male,52,41801,45971
Houston,Fall,Honda,Male,24,11537,72098
Columbus,Summer,Kia,Male,22,16049,82162
San Antonio,Fall,Jeep,Female,42,23395,57317
Phoenix,Fall,Chevrolet,Female,80,25202,157831
NYC,Fall,Chevrolet,Male,59,43679,177638
Houston,Spring,Hyundai,Female,50,19639,242886
San Diego,Spring,Jeep,Male,70,32943,164150
Houston,Winter,Subaru,Female,62,38193,215205
Seattle,Fall,Chevrolet,Male,30,16771,85548
San Diego,Summer,Honda,Male,21,29904,230202
San Diego,Fall,Jeep,Female,62,11708,71541
San Diego,Summer,Honda,Male,21,40585,299883
Houston,Summer,Jeep,Male,21,23320,231668
Seattle,Winter,GMC,Female,61,34777,129356
Phoenix,Winter,Subaru,Female,49,41061,251482
Seattle,Winter,Jeep,Male,30,23738,87564
Houston,Fall,Chevrolet,Female,70,31383,89755
San Antonio,Spring,Hyundai,Female,63,33096,99806
Phoenix,Winter,Hyundai,Male,60,42671,170281
Columbus,Spring,Toyota,Female,25,46606,89262
San Diego,Winter,Ford,Female,64,44650,262502
Houston,Summer,Honda,Female,57,19473,230662
Phoenix,Spring,Chevrolet,Female,81,48638,117088
Philladephia,Summer,Ram,Male,67,25164,86212
Phoenix,Summer,Chevrolet,Male,29,33833,43819
Chicago,Winter,Ford,Male,35,32121,113148
Austin,Spring,Ram,Female,52,31991,163465
Chicago,Spring,Toyota,Male,75,15350,261863
Austin,Fall,Subaru,Male,59,33910,215514
Austin,Spring,Ford,Female,48,39001,264221
Phoenix,Fall,Subaru,Male,23,41369,158915
Seattle,Fall,Chevrolet,Male,30,12107,104617
Philladephia,Winter,Toyota,Female,68,12074,160834
Philladephia,Fall,GMC,Female,26,12440,116257
LA,Spring,Ford,Male,43,12564,41926
Houston,Winter,Toyota,Female,38,27409,91574
Columbus,Spring,Nissan,Male,76,23297,95510
Philladephia,Fall,Chevrolet,Female,59,15458,264389
Columbus,Winter,Ram,Male,75,10865,291829
Columbus,Spring,Kia,Male,71,16614,127378
Philladephia,Winter,Honda,Male,77,24485,279533
Phoenix,Summer,Ram,Male,37,40921,73628
San Diego,Spring,Kia,Male,41,21493,125166
San Antonio,Fall,Honda,Female,39,23135,55097
Houston,Winter,Jeep,Female,73,25035,98717
Seattle,Winter,Jeep,Male,63,20240,193962
LA,Fall,GMC,Female,33,40866,177142
Seattle,Summer,Honda,Female,65,39060,141986
Austin,Summer,Subaru,Female,72,45870,83441
NYC,Winter,Ram,Female,76,32853,76215
Austin,Winter,Ram,Male,74,20586,42891
Chicago,Winter,Kia,Female,59,46969,167033
Philladephia,Summer,Honda,Male,67,12609,67821
NYC,Spring,Nissan,Male,38,13196,219532
San Diego,Spring,Ram,Male,76,39441,270501
Chicago,Fall,Honda,Male,38,47513,207873
LA,Summer,Subaru,Male,46,22851,246131
Philladephia,Fall,Ram,Female,46,16568,192530
Columbus,Fall,Chevrolet,Male,78,49747,143788
San Antonio,Spring,Chevrolet,Female,46,42342,117377
Philladephia,Summer,Subaru,Male,59,16955,127759
Philladephia,Fall,Kia,Female,67,26780,208519
Chicago,Spring,Jeep,Female,71,13469,187234
NYC,Fall,Nissan,Female,52,31283,183806
Austin,Spring,Chevrolet,Female,43,24518,260745
Seattle,Winter,Jeep,Male,57,14066,278991
Houston,Spring,Subaru,Male,32,31480,93099
Seattle,Winter,Ram,Female,55,37495,195719
Phoenix,Spring,Honda,Female,51,25903,193774
San Diego,Spring,Kia,Female,37,42102,183971
San Diego,Winter,Ford,Female,64,36396,148763
Phoenix,Summer,Toyota,Female,48,38259,220434
Columbus,Summer,GMC,Male,33,42295,183297
LA,Summer,Subaru,Male,56,26696,155455
Columbus,Spring,Kia,Male,36,48496,229613
Columbus,Summer,Chevrolet,Female,32,38167,114245
Houston,Winter,Kia,Female,79,14646,40492
Seattle,Summer,Nissan,Male,50,16011,163426
Chicago,Spring,GMC,Male,50,33743,148132
San Antonio,Fall,Toyota,Female,71,26290,146640
Seattle,Fall,Jeep,Male,41,43477,179095
Philladephia,Fall,Toyota,Male,40,37139,294621
NYC,Summer,Jeep,Female,27,17451,81330
Chicago,Winter,Kia,Female,71,40825,101620
Seattle,Winter,Chevrolet,Male,53,37285,193518
Phoenix,Summer,Chevrolet,Female,69,21219,137507
San Diego,Spring,Honda,Female,81,27352,256727
NYC,Winter,Chevrolet,Male,46,19863,187460
LA,Summer,Toyota,Male,64,25408,269636
LA,Winter,Chevrolet,Female,31,46498,213165
NYC,Summer,Subaru,Female,44,42488,42690
Austin,Fall,Hyundai,Female,82,15883,254175
Chicago,Winter,Ram,Male,76,12778,262803
Austin,Summer,Honda,Female,47,32599,239288
NYC,Fall,Ram,Female,45,25844,173042
LA,Spring,GMC,Male,35,34749,133506
LA,Winter,Subaru,Male,32,28052,110511
San Antonio,Spring,Ford,Female,44,43851,89545
Columbus,Spring,Ford,Female,74,24411,181938
Houston,Summer,Honda,Female,26,22083,103323
Chicago,Fall,GMC,Female,69,46911,66681
Houston,Winter,Ram,Female,29,13720,252108
Philladephia,Summer,Subaru,Male,53,30094,56340
Houston,Fall,Honda,Male,66,25419,190477
LA,Spring,Chevrolet,Female,24,11809,133105
Seattle,Spring,Ram,Male,80,11753,295700
Chicago,Winter,Hyundai,Female,76,32995,224820
Houston,Spring,Honda,Female,45,13754,156993
Seattle,Summer,GMC,Female,37,26649,292664
San Diego,Spring,Nissan,Male,22,47915,148798
LA,Summer,Nissan,Male,33,31138,87747
San Antonio,Spring,Kia,Female,26,43706,204904
San Antonio,Spring,Hyundai,Male,62,38167,59796
San Antonio,Spring,Honda,Female,30,43233,74146
Phoenix,Spring,Jeep,Female,30,29347,282736
LA,Fall,Chevrolet,Female,82,23291,136108
LA,Fall,Nissan,Female,28,19532,52884
LA,Summer,Ford,Female,44,12919,268732
Seattle,Winter,Jeep,Female,22,34596,128632
LA,Summer,Toyota,Male,61,49206,195163
San Antonio,Fall,Honda,Female,73,13102,257079
Columbus,Fall,Kia,Male,62,33569,220672
Philladephia,Spring,Chevrolet,Female,45,21971,125262
Philladephia,Winter,Subaru,Female,35,41981,212331
NYC,Fall,Hyundai,Female,56,19252,132261
San Antonio,Fall,Toyota,Male,30,42551,185556
Philladephia,Spring,Chevrolet,Male,28,25236,191119
San Antonio,Spring,Chevrolet,Male,27,32375,206754
Chicago,Winter,Chevrolet,Male,32,17738,100431
Philladephia,Fall,Ram,Female,73,20421,154519
Philladephia,Summer,Honda,Female,22,42779,219359
Seattle,Summer,Subaru,Female,47,16352,133679
Phoenix,Fall,Subaru,Male,62,17983,298587
San Antonio,Fall,Ram,Female,79,28661,50962
Philladephia,Spring,Toyota,Female,34,39269,100492
NYC,Fall,GMC,Female,39,11469,264680
Seattle,Fall,Nissan,Female,62,45581,61996
Columbus,Fall,Toyota,Male,72,31952,138328
Columbus,Summer,Ford,Male,58,16204,198034
Phoenix,Fall,Honda,Male,34,48011,224874
San Diego,Spring,Subaru,Female,81,29546,40270
Philladephia,Spring,Toyota,Male,73,10397,220887
Columbus,Fall,Chevrolet,Male,83,39948,165401
San Antonio,Summer,GMC,Male,75,14750,88625
Columbus,Spring,Chevrolet,Female,46,21090,100108
Columbus,Fall,Ram,Female,21,32382,92518
San Diego,Summer,Nissan,Female,80,31085,153013
NYC,Fall,GMC,Male,57,21050,102688
San Antonio,Spring,Nissan,Male,57,32488,121818
Chicago,Spring,Toyota,Female,44,37577,117620
Philladephia,Winter,Kia,Male,59,37246,53699
Phoenix,Summer,Jeep,Male,64,48359,283333
Philladephia,Spring,Ford,Male,47,13953,191291
San Antonio,Summer,Honda,Male,27,27973,274082
San Diego,Spring,Chevrolet,Female,44,44224,72562
Phoenix,Spring,Ford,Female,58,32207,75707
San Antonio,Fall,Ford,Female,81,26650,182159
NYC,Spring,Hyundai,Female,46,17332,208016
Columbus,Winter,Kia,Female,29,33434,80494
Chicago,Winter,Hyundai,Male,45,20964,278885
Philladephia,Winter,Kia,Male,54,45731,206916
LA,Summer,Jeep,Male,30,16151,290031
Philladephia,Spring,Kia,Male,72,32280,263724
LA,Winter,Subaru,Male,69,13389,296670
Seattle,Winter,Ram,Female,73,22984,215557
San Antonio,Spring,Subaru,Male,63,19111,58275
Chicago,Winter,Jeep,Male,72,30598,279659
Austin,Winter,Nissan,Female,74,43415,123813
LA,Fall,Ram,Male,37,47096,130306
Austin,Summer,Chevrolet,Female,78,25786,181322
Philladephia,Spring,Ford,Male,71,48591,172142
San Diego,Summer,GMC,Male,55,17834,116741
LA,Winter,Toyota,Male,75,48784,141338
Philladephia,Winter,Ram,Female,28,18929,100273
San Diego,Fall,Nissan,Male,80,30821,224481
Austin,Spring,Chevrolet,Male,29,15969,298554
Phoenix,Winter,Hyundai,Female,40,15564,256071
Austin,Winter,Chevrolet,Male,44,36150,113151
NYC,Fall,Subaru,Female,76,22800,143906
Columbus,Fall,Toyota,Male,35,11547,58158
LA,Fall,Nissan,Female,54,43744,267789
San Diego,Spring,Subaru,Female,50,24533,58957
San Antonio,Winter,Hyundai,Male,83,11254,127005
LA,Summer,Nissan,Male,60,42463,253454
San Antonio,Spring,GMC,Female,27,39963,231253
San Antonio,Fall,Ford,Male,26,45203,266646
Austin,Summer,Honda,Male,67,46879,226294
Phoenix,Winter,Jeep,Female,60,31875,288247
San Diego,Fall,Kia,Male,44,40806,177376
Seattle,Spring,Honda,Male,57,17979,224808
Columbus,Winter,Nissan,Male,33,49025,242863
San Antonio,Winter,GMC,Male,33,39292,144875
Houston,Fall,Toyota,Female,77,17830,94356
Phoenix,Fall,Ford,Male,25,43251,100263
NYC,Summer,Toyota,Female,74,42246,214966
LA,Winter,Toyota,Female,25,35015,129020
Philladephia,Spring,GMC,Female,37,22307,64026
NYC,Fall,Nissan,Female,77,44718,212236
Chicago,Summer,Nissan,Male,41,26998,246218
Seattle,Summer,Kia,Male,45,29781,298659
LA,Winter,Honda,Female,61,29721,153355
Houston,Summer,Nissan,Male,58,42224,175081
LA,Winter,Hyundai,Male,72,29368,223905
LA,Spring,Nissan,Male,35,11159,296519
San Diego,Winter,Ford,Female,24,35296,133900
Chicago,Fall,Kia,Male,74,25975,192929
Philladephia,Spring,GMC,Female,82,31053,40016
Philladephia,Fall,Hyundai,Female,38,32756,233995
Philladephia,Winter,Nissan,Female,57,27839,59243
Austin,Spring,Ram,Male,26,35607,163073
Seattle,Winter,Jeep,Male,75,25396,118879
Chicago,Spring,Ram,Female,54,17892,120625
San Antonio,Spring,Hyundai,Female,38,38997,128033
Philladephia,Fall,Ram,Male,66,43771,169103
Seattle,Spring,Ram,Female,29,47091,297717
Seattle,Winter,Ram,Male,28,16647,199945
Chicago,Summer,Honda,Female,34,27401,186681
Seattle,Fall,Subaru,Female,65,26008,288349
Austin,Summer,Ford,Male,28,19009,79408
San Diego,Fall,Ram,Female,79,49201,248560
San Antonio,Fall,Toyota,Female,42,16230,44697
Chicago,Summer,Jeep,Male,75,47000,53538
San Antonio,Summer,Toyota,Female,78,18042,184129
Chicago,Summer,Honda,Female,23,27145,65646
San Diego,Fall,Hyundai,Male,29,17061,101367
Austin,Summer,GMC,Male,65,15451,86128
Philladephia,Spring,Honda,Male,44,25782,270500
Chicago,Spring,Honda,Female,35,21693,120003
Philladephia,Winter,GMC,Female,28,49835,291041
Chicago,Winter,GMC,Female,67,42854,232154
Phoenix,Summer,GMC,Male,47,41611,176045
Chicago,Winter,Ram,Male,51,43783,112840
San Antonio,Summer,Chevrolet,Male,64,37098,210875
LA,Summer,Ford,Female,47,36026,94660
Phoenix,Summer,Ram,Male,32,34635,181900
LA,Summer,Nissan,Male,53,45568,72336
NYC,Summer,Ford,Female,34,19147,125740
Chicago,Summer,Chevrolet,Male,44,17545,47686
San Diego,Spring,Ram,Female,79,17399,224012
Austin,Winter,Nissan,Female,82,16356,232932
LA,Winter,Toyota,Female,78,18364,118571
Seattle,Winter,Hyundai,Male,31,37421,227776
Seattle,Summer,Chevrolet,Female,72,47397,140066
Philladephia,Winter,Honda,Female,60,29591,201794
LA,Fall,Honda,Female,81,40619,87861
NYC,Fall,Ram,Male,39,37053,137554
LA,Fall,Kia,Male,49,31981,164464
Columbus,Fall,Toyota,Male,70,23363,282587
LA,Winter,Nissan,Female,81,35092,99679
Chicago,Spring,Subaru,Female,51,35565,221094
Houston,Fall,GMC,Male,45,46729,252967
Chicago,Winter,Honda,Female,77,48237,126358
